prenom,frequence
MARIE,0.02654748700360179
JEAN,0.0225175411823049
PIERRE,0.0104756956236386
MICHEL,0.009636659463652521
ANDRÉ,0.008369431209476585
JEANNE,0.006531338890293253
PHILIPPE,0.00632681538425507
LOUIS,0.006081488187871935
RENÉ,0.006069331648002326
ALAIN,0.005953756428372411
JACQUES,0.005670843794711254
BERNARD,0.005513302085270598
CLAUDE,0.005502096926782088
MARCEL,0.005495108384538206
DANIEL,0.0051095170344131555
ROGER,0.004978578767295849
ROBERT,0.004924831591988279
PAUL,0.004890945971192313
DOMINIQUE,0.004814682769865378
CHRISTIAN,0.004763073266302995
HENRI,0.004760794649168015
GEORGES,0.004758856650058367
NICOLAS,0.004753336288958157
FRANÇOISE,0.004716279396891858
MONIQUE,0.0047014331491670395
FRANÇOIS,0.0046826756668754774
PATRICK,0.004640051431912371
CATHERINE,0.004638324850887412
NATHALIE,0.0044981311698403924
GÉRARD,0.004459841005613408
ISABELLE,0.004440108651042447
CHRISTOPHE,0.004416840916277523
JOSEPH,0.004409218119779574
JACQUELINE,0.004375767080602134
ANNE,0.004286161049041502
SYLVIE,0.0042844814498131404
JULIEN,0.004043088978895049
MAURICE,0.003966344214152989
LAURENT,0.0038587676453938026
FRÉDÉRIC,0.00385311808435295
MARTINE,0.0037618207081148063
ERIC,0.0037355109020201912
DAVID,0.003672801949011643
STÉPHANE,0.003636637711080697
PASCAL,0.00361738691992486
MADELEINE,0.0035778282471897425
SÉBASTIEN,0.0035700057780562546
ALEXANDRE,0.003525549253025845
NICOLE,0.0034511300872153627
THIERRY,0.0034012354192287896
SUZANNE,0.003393988477103621
HÉLÈNE,0.0033021273193063073
CHRISTINE,0.0032960196857486287
OLIVIER,0.0032886787800302654
THOMAS,0.0032618874105205258
CAMILLE,0.003258880575538284
ANTOINE,0.003247675417049774
RAYMOND,0.003206284454247353
MARGUERITE,0.003185201373024213
GUY,0.0031238196557695445
LOUISE,0.0031000468666911958
DENISE,0.0030937395604979778
CHRISTIANE,0.0030486605266626513
YVONNE,0.0030188270858232218
VALÉRIE,0.002975345433072211
SOPHIE,0.002881769439699087
CHARLES,0.002823934848087532
SANDRINE,0.0028218793944863904
STÉPHANIE,0.002803168893991425
CÉLINE,0.0028013718402715698
MARC,0.0027898613001051758
DIDIER,0.0027876649011142414
VÉRONIQUE,0.0027711155632627626
CHANTAL,0.0027313572178921056
VINCENT,0.0027313219815446577
YVES,0.0026971897063165547
MARCELLE,0.0026941711258851634
GUILLAUME,0.002614936325923435
RENÉE,0.002606056766366502
BRUNO,0.002592314590861726
MAXIME,0.0025841397582537563
SIMONE,0.002583482013101391
SERGE,0.0025768810706794385
JEANNINE,0.0025691995469357427
ANDRÉE,0.0025327534182252114
LUCIEN,0.0025276558932943796
JEAN-PIERRE,0.002513843245094707
JULIE,0.0025118465187393122
PAULETTE,0.0025066550302152856
GERMAINE,0.002479804933459799
ANNIE,0.0024680359934121186
PATRICIA,0.0024359944081326053
ALBERT,0.0023984207163037334
YVETTE,0.0023899522474670294
LUCIE,0.0023867927216458455
BRIGITTE,0.0023812841059947854
LÉA,0.0023165549357325433
ODETTE,0.0022634772510264876
ALICE,0.002262349687908147
EMILIE,0.002260529143289993
